Color Name,R,G,B,matching color
Grey,84,84,84,grey
"Grey, Silver",192,192,192,white
grey,190,190,190,white
LightGray,211,211,211,white
LightSlateGrey,119,136,153,blue
SlateGray,112,128,144,blue
SlateGray1,198,226,255,white
SlateGray2,185,211,238,white
SlateGray3,159,182,205,blue
SlateGray4,108,123,139,blue
black,0,0,0,black
grey0,0,0,0,black
grey1,3,3,3,black
grey2,5,5,5,black
grey3,8,8,8,black
grey4,10,10,10,black
grey5,13,13,13,black
grey6,15,15,15,black
grey7,18,18,18,black
grey8,20,20,20,black
grey9,23,23,23,black
grey10,26,26,26,black
grey11,28,28,28,black
grey12,31,31,31,black
grey13,33,33,33,black
grey14,36,36,36,black
grey15,38,38,38,black
grey16,41,41,41,black
grey17,43,43,43,black
grey18,46,46,46,black
grey19,48,48,48,black
grey20,51,51,51,black
grey21,54,54,54,black
grey22,56,56,56,black
grey23,59,59,59,grey
grey24,61,61,61,grey
grey25,64,64,64,grey
grey26,66,66,66,grey
grey27,69,69,69,grey
grey28,71,71,71,grey
grey29,74,74,74,grey
grey30,77,77,77,grey
grey31,79,79,79,grey
grey32,82,82,82,grey
grey33,84,84,84,grey
grey34,87,87,87,grey
grey35,89,89,89,grey
grey36,92,92,92,grey
grey37,94,94,94,grey
grey38,97,97,97,grey
grey39,99,99,99,grey
grey40,102,102,102,grey
"grey41, DimGrey",105,105,105,grey
grey42,107,107,107,grey
grey43,110,110,110,grey
grey44,112,112,112,grey
grey45,115,115,115,grey
grey46,117,117,117,grey
grey47,120,120,120,grey
grey48,122,122,122,grey
grey49,125,125,125,grey
grey50,127,127,127,grey
grey51,130,130,130,grey
grey52,133,133,133,grey
grey53,135,135,135,grey
grey54,138,138,138,grey
grey55,140,140,140,grey
grey56,143,143,143,grey
grey57,145,145,145,grey
grey58,148,148,148,grey
grey59,150,150,150,grey
grey60,153,153,153,grey
grey61,156,156,156,grey
grey62,158,158,158,grey
grey63,161,161,161,white
grey64,163,163,163,white
grey65,166,166,166,white
grey66,168,168,168,white
grey67,171,171,171,white
grey68,173,173,173,white
grey69,176,176,176,white
grey70,179,179,179,white
grey71,181,181,181,white
grey72,184,184,184,white
grey73,186,186,186,white
grey74,189,189,189,white
grey75,191,191,191,white
grey76,194,194,194,white
grey77,196,196,196,white
grey78,199,199,199,white
grey79,201,201,201,white
grey80,204,204,204,white
grey81,207,207,207,white
grey82,209,209,209,white
grey83,212,212,212,white
grey84,214,214,214,white
grey85,217,217,217,white
grey86,219,219,219,white
grey87,222,222,222,white
grey88,224,224,224,white
grey89,227,227,227,white
grey90,229,229,229,white
grey91,232,232,232,white
grey92,235,235,235,white
grey93,237,237,237,white
grey94,240,240,240,white
grey95,242,242,242,white
grey96,245,245,245,white
grey97,247,247,247,white
grey98,250,250,250,white
grey99,252,252,252,white
"grey100, White",255,255,255,white
Dark Slate Grey,47,79,79,black
Dim Grey,84,84,84,black
Very Light Grey,205,205,205,white
Free Speech Grey,99,86,136,blue
AliceBlue,240,248,255,white
BlueViolet,138,43,226,violet
Cadet Blue,95,159,159,blue
